id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;district;max_floor
1;1070000;59.5;2;8;;;;2000;;Targówek;11
2;;38.04;2;0;;ogródek;garaż/miejsce parkingowe;;do wykończenia;Ursynów;5
3;1700000;67.44;3;3;;balkon;garaż/miejsce parkingowe;;do zamieszkania;Wilanów;3
4;933000;46.0;2;;600;balkon;;;;Śródmieście;
5;;80.74;4;0;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;Targówek;10
6;330000;16.14;1;1;630;;;1933;do zamieszkania;Praga-Północ;3
7;659000;33.0;2;5;500;balkon;;1936;do zamieszkania;Praga-Północ;5
8;1077000;82.87;4;;80;;garaż/miejsce parkingowe;2025;;Wesoła;
9;1289000;49.0;2;5;699;;;1952;do zamieszkania;Śródmieście;6
10;;32.11;1;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Wola;8
10;;32.11;1;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Wola;8
11;610000;27.0;1;1;650;;garaż/miejsce parkingowe;1966;do zamieszkania;Mokotów;4
12;1031745;61.05;3;2;;balkon;garaż/miejsce parkingowe;;do wykończenia;Mokotów;11
13;779000;67.1;3;4;1350;balkon;;1999;do zamieszkania;Białołęka;4
14;2360000;108.0;3;4;1500;balkon;;1938;do zamieszkania;Mokotów;5
15;499000;28.0;2;4;600;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Białołęka;4
16;1990000;87.31;3;5;1300;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;Żoliborz;5
17;1100000;49.93;2;2;;balkon;;1952;;Mokotów;5
18;550000;31.79;1;3;700;balkon;;1960;;Bielany;4
19;748000;33.74;1;4;;balkon;garaż/miejsce parkingowe;;do wykończenia;Praga-Północ;7
20;1159000;84.37;4;1;1294;balkon;;1993;;Bemowo;3
21;1360000;68.0;3;11;;;;2001;do zamieszkania;Mokotów;11
22;2400000;103.0;4;2;1600;balkon, ogródek;garaż/miejsce parkingowe;1955;do wykończenia;Praga-Południe;2
23;1522500;87.0;3;0;1000;balkon;;1986;do zamieszkania;Wilanów;2
24;745000;33.0;1;;;balkon, taras;;2019;do zamieszkania;Wola;
25;1580000;115.0;5;4;1400;balkon;garaż/miejsce parkingowe;1990;do zamieszkania;Praga-Południe;5
26;760000;41.78;2;1;;balkon;;1953;;Mokotów;2
27;879000;45.36;2;1;643;;garaż/miejsce parkingowe;2015;do zamieszkania;Mokotów;3
28;960262;68.92;3;7;;balkon;garaż/miejsce parkingowe;;do wykończenia;Ursus;7
29;860000;68.8;3;3;;balkon;;1979;do remontu;Praga-Południe;10
30;3807000;126.87;5;7;;;garaż/miejsce parkingowe;;do wykończenia;Żoliborz;7
31;778000;62.3;3;3;;balkon;;1977;do zamieszkania;Ursus;4
32;1850000;100.0;4;7;1300;taras;garaż/miejsce parkingowe;2006;do zamieszkania;Bemowo;7
33;1920000;74.47;3;4;;;;;do zamieszkania;Śródmieście;5
34;;62.86;3;1;;;garaż/miejsce parkingowe;;do wykończenia;Włochy;10
35;630000;38.5;2;1;;balkon;garaż/miejsce parkingowe;1972;do zamieszkania;Targówek;4
36;783000;36.5;1;3;540;balkon;;2016;do zamieszkania;Praga-Północ;5
37;1180000;85.5;4;4;880;;garaż/miejsce parkingowe;1999;do remontu;Ursynów;4
38;665000;36.0;2;3;480;balkon;;1936;do zamieszkania;Praga-Południe;4
39;2357535;111.42;5;9;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Mokotów;9
40;877200;48.73;2;0;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Bemowo;3
41;1030000;79.4;3;1;1100;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;Wesoła;4
43;1299000;74.9;3;0;530;ogródek;;2014;do zamieszkania;Ursus;7
44;1250000;72.26;3;2;750;balkon;garaż/miejsce parkingowe;1991;do remontu;Ursynów;2
