id;price;area;rooms;floor;rent;outdoor;parking;build_year;status;address
1;1 070 000 zł;59,5 m²;2;8/11;;;;2000;;ul. Ludwika Kondratowicza, Bródno-Podgrodzie, Targówek, Warszawa, mazowieckie
2;Zapytaj o cenę;38,04 m²;2;parter/5;;ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Bokserska, Wyczółki, Ursynów, Warszawa, mazowieckie
3;1 700 000 zł;67,44 m²;3;3/3;;balkon;garaż/miejsce parkingowe;brak informacji;do zamieszkania;ul. Franciszka Klimczaka16, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie
4;933 000 zł;46 m²;2;9;600 zł;balkon;;brak informacji;;al. Aleja Jana Pawła II 72, Muranów, Śródmieście, Warszawa, mazowieckie
5;Zapytaj o cenę;80,74 m²;4;parter/10;;taras, ogródek;garaż/miejsce parkingowe;;do wykończenia;ul. Rembielińska, Bródno, Targówek, Warszawa, mazowieckie
6;330 000 zł;16,14 m²;1;1/3;630 zł;;;1933;do zamieszkania;ul. Łochowska, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
7;659 000 zł;33 m²;2;5/5;500 zł;balkon;;1936;do zamieszkania;ul. Białostocka, Szmulowizna, Praga-Północ, Warszawa, mazowieckie
8;1 077 000 zł;82,87 m²;4;;80 zł;;garaż/miejsce parkingowe;2025;;Zielona-Grzybowa, Wesoła, Warszawa, mazowieckie
9;1 289 000 zł;49 m²;2;5/6;699 zł;;;1952;do zamieszkania;pl. Plac Konstytucji, Śródmieście Południowe, Śródmieście, Warszawa, mazowieckie
10;Zapytaj o cenę;32,11 m²;1;2/8;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie
10;Zapytaj o cenę;32,11 m²;1;2/8;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Redutowa, Ulrychów, Wola, Warszawa, mazowieckie
11;610 000 zł;27 m²;1;1/4;650 zł;;garaż/miejsce parkingowe;1966;do zamieszkania;al. Aleja Niepodległości, Ksawerów, Mokotów, Warszawa, mazowieckie
12;1 031 745 zł;61,05 m²;3;2/11;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Powsińska, Sadyba, Mokotów, Warszawa, mazowieckie
13;779 000 zł;67,1 m²;3;4/4;1 350 zł;balkon;;1999;do zamieszkania;Dąbrówka Szlachecka, Białołęka, Warszawa, mazowieckie
14;2 360 000 zł;108 m²;3;4/5;1 500 zł;balkon;;1938;do zamieszkania;al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie
15;499 000 zł;28 m²;2;4/4;600 zł;balkon;garaż/miejsce parkingowe;2002;do zamieszkania;Grodzisk, Białołęka, Warszawa, mazowieckie
16;1 990 000 zł;87,31 m²;3;5/5;1 300 zł;balkon;garaż/miejsce parkingowe;2016;do zamieszkania;ul. Przasnyska, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
17;1 100 000 zł;49,93 m²;2;2/5;;balkon;;1952;;al. Aleja Niepodległości, Stary Mokotów, Mokotów, Warszawa, mazowieckie
18;550 000 zł;31,79 m²;1;3/4;700 zł;balkon;;1960;;ul. Jana Kasprowicza, Stare Bielany, Bielany, Warszawa, mazowieckie
19;748 000 zł;33,74 m²;1;4/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Stefana Okrzei, Stara Praga, Praga-Północ, Warszawa, mazowieckie
20;1 159 000 zł;84,37 m²;4;1/3;1 294 zł;balkon;;1993;;ul. Sosnowiecka 36, Bemowo-Lotnisko, Bemowo, Warszawa, mazowieckie
21;1 360 000 zł;68 m²;3;> 10/11;;;;2001;do zamieszkania;Ksawerów, Mokotów, Warszawa, mazowieckie
22;2 400 000 zł;103 m²;4;2/2;1 600 zł;balkon, ogródek;garaż/miejsce parkingowe;1955;do wykończenia;ul. Paryska, Saska Kępa, Praga-Południe, Warszawa, mazowieckie
23;1 522 500 zł;87 m²;3;parter/2;1 000 zł;balkon;;1986;do zamieszkania;ul. Wiktorii Wiedeńskiej, Wilanów Wysoki, Wilanów, Warszawa, mazowieckie
24;745 000 zł;33 m²;1;1;;balkon, taras;;2019;do zamieszkania;Ulrychów, Wola, Warszawa, mazowieckie
25;1 580 000 zł;115 m²;5;4/5;1 400 zł;balkon;garaż/miejsce parkingowe;1990;do zamieszkania;ul. Ostrobramska, Grochów, Praga-Południe, Warszawa, mazowieckie
26;760 000 zł;41,78 m²;2;1/2;;balkon;;1953;;ul. Stępińska, Sielce, Mokotów, Warszawa, mazowieckie
27;879 000 zł;45,36 m²;2;1/3;643 zł;;garaż/miejsce parkingowe;2015;do zamieszkania;"ul. Batalionu AK ""Karpaty"", Czerniaków, Mokotów, Warszawa, mazowieckie"
28;960 262 zł;68,92 m²;3;7/7;;balkon;garaż/miejsce parkingowe;;do wykończenia;ul. Kazimierza Gierdziejewskiego, Szamoty, Ursus, Warszawa, mazowieckie
29;860 000 zł;68,8 m²;3;3/10;;balkon;;1979;do remontu;ul. Ostrobramska, Gocław, Praga-Południe, Warszawa, mazowieckie
30;3 807 000 zł;126,87 m²;5;7/7;;;garaż/miejsce parkingowe;;do wykończenia;ul. Anny German, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie
31;778 000 zł;62,3 m²;3;3/4;;balkon;;1977;do zamieszkania;Niedźwiadek, Niedźwiadek, Ursus, Warszawa, mazowieckie
32;1 850 000 zł;100 m²;4;7/7;1 300 zł;taras;garaż/miejsce parkingowe;2006;do zamieszkania;Forty Bema, Osmańczyka 8,, Fort Bema, Bemowo, Warszawa, mazowieckie
33;1 920 000 zł;74,47 m²;3;4/5;;;;brak informacji;do zamieszkania;Śródmieście Północne, Śródmieście, Warszawa, mazowieckie
34;Zapytaj o cenę;62,86 m²;3;1/10;;;garaż/miejsce parkingowe;;do wykończenia;al. Aleja Krakowska, Raków, Włochy, Warszawa, mazowieckie
35;630 000 zł;38,5 m²;2;1/4;612,66 zł;balkon;garaż/miejsce parkingowe;1972;do zamieszkania;ul. Żuromińska, Bródno, Targówek, Warszawa, mazowieckie
36;783 000 zł;36,5 m²;1;3/5;540 zł;balkon;;2016;do zamieszkania;ul. Brzeska, Stara Praga, Praga-Północ, Warszawa, mazowieckie
37;1 180 000 zł;85,5 m²;4;4/4;880 zł;;garaż/miejsce parkingowe;1999;do remontu;al. Aleja Komisji Edukacji Narodowej 95, Ursynów Północny, Ursynów, Warszawa, mazowieckie
38;665 000 zł;36 m²;2;3/4;480 zł;balkon;;1936;do zamieszkania;ul. Grochowska, Grochów, Praga-Południe, Warszawa, mazowieckie
39;2 357 535,78 zł;111,42 m²;5;9/9;;balkon, taras;garaż/miejsce parkingowe;2025;do wykończenia;Służewiec, Mokotów, Warszawa, mazowieckie
40;877 200 zł;48,73 m²;2;parter/3;;balkon, taras;garaż/miejsce parkingowe;2026;do wykończenia;Chrzanów, Bemowo, Warszawa, mazowieckie
41;1 030 000 zł;79,4 m²;3;1/4;1 100 zł;balkon;garaż/miejsce parkingowe;2011;do zamieszkania;ul. Mazowiecka, Stara Miłosna, Wesoła, Warszawa, mazowieckie
43;1 299 000 zł;74,9 m²;3;parter/7;530 zł;ogródek;;2014;do zamieszkania;ul. Ryżowa, Skorosze, Ursus, Warszawa, mazowieckie
